id;article_name;price;tax_rate_if_pick_up;tax_rate_if_dine_in;information;ingredient;image
1;Massachusetts Generic Fantastic;32026;3989;97200;Wooden;deploy microchip copying;web-enabled Dynamic Automotive
2;Georgia Fantastic Architect;2101;52130;70017;Intelligent Alley;Fantastic Fresh Salad Small;revolutionary Mountains
3;Fantastic Plastic Shirt tan;13877;44778;64426;reinvent;Books e-markets;dynamic Developer world-class
4;tertiary THX backing up;24527;18133;79383;Wyoming Cross-platform;Compatible;Fork primary
5;XSS;28026;51338;8912;Fresh payment infrastructures;parsing morph;Salad hard drive portals
6;Buckinghamshire;11870;3821;10542;olive invoice analyzer;matrix Soft help-desk;vortals
7;Bedfordshire Massachusetts;92086;26308;36055;View;California Assistant Peso Uruguayo Uruguay Peso en Unidades Indexadas;optical 4th generation
8;Dynamic;27423;37113;15252;yellow pixel Loaf;copying Outdoors;microchip
9;azure calculating;47155;56525;87137;markets;Baby matrix;index Usability
10;program SAS;60162;12442;54036;sensor;Investment Account;virtual
