id;option_name;active_option_name;min_value;max_value
1;Directives Connecticut;Awesome Metal Chair online auxiliary;84715;69538
2;connect Intuitive Computer;Sports blue SMS;93860;13151
3;UAE Dirham withdrawal;Refined;72279;28135
4;encompassing;Connecticut Strategist;35945;74801
5;violet tangible;fuchsia AI Avon;39972;49474
6;innovate Functionality;Rwanda Franc;53369;17936
7;generating;Checking Account;72162;90346
8;invoice e-enable;Enhanced;76387;83036
9;generate;Multi-layered schemas;53082;47257
10;Courts Direct;Oklahoma Principal;59518;76435
