id;name;choice;price
1;RAM Handmade;Crest;59635
2;Lakes Mexican Peso Mexican Unidad de Inversion (UDI) Avon;Shoes;37995
3;Somalia;Refined Metal Shoes;74862
4;Quality-focused Practical Granite Bike;full-range;69213
5;incentivize 1080p;RAM Bedfordshire;77694
6;Chair whiteboard Usability;North Korean Won;58948
7;Metical;Fantastic Granite Cheese Sleek Frozen Chair Credit Card Account;20677
8;Gourde US Dollar RAM;Saint Helena Pound;61824
9;Motorway Gourde US Dollar compressing;Metal;72683
10;redundant;brand Morocco;70817
